time,value,label
2025-06-08 00:53:15,1.89,0
2025-06-08 00:53:30,1.91,0
2025-06-08 00:53:45,1.88,0
2025-06-08 00:54:00,2.56,0
2025-06-08 00:54:15,1.78,0
2025-06-08 00:54:30,1.63,0
2025-06-08 00:54:45,1.74,0
2025-06-08 00:55:00,1.56,0
2025-06-08 00:55:15,1.75,0
2025-06-08 00:55:30,1.57,0
2025-06-08 00:55:45,1.49,0
2025-06-08 00:56:00,1.63,0
2025-06-08 00:56:15,1.67,0
2025-06-08 00:56:30,1.55,0
2025-06-08 00:56:45,1.46,0
2025-06-08 00:57:00,1.52,0
2025-06-08 00:57:15,1.57,0
2025-06-08 00:57:30,1.77,0
2025-06-08 00:57:45,1.66,0
2025-06-08 00:58:00,1.48,0
2025-06-08 00:58:15,1.61,0
2025-06-08 00:58:30,1.69,0
2025-06-08 00:58:45,1.53,0
2025-06-08 00:59:00,2.35,0
2025-06-08 00:59:15,1.49,0
2025-06-08 00:59:30,1.57,0
2025-06-08 00:59:45,1.53,0
2025-06-08 01:00:00,1.55,0
2025-06-08 01:00:15,2.35,0
2025-06-08 01:00:30,5.81,0
2025-06-08 01:00:45,1.57,0
2025-06-08 01:01:00,1.58,0
2025-06-08 01:01:15,1.59,0
2025-06-08 01:01:30,1.62,0
2025-06-08 01:01:45,1.52,0
2025-06-08 01:02:00,1.68,0
2025-06-08 01:02:15,1.57,0
2025-06-08 01:02:30,1.78,0
2025-06-08 01:02:45,1.62,0
2025-06-08 01:03:00,1.64,0
2025-06-08 01:03:15,1.65,0
2025-06-08 01:03:30,1.7,0
2025-06-08 01:03:45,1.53,0
2025-06-08 01:04:00,2.28,0
2025-06-08 01:04:15,1.44,0
2025-06-08 01:04:30,1.56,0
2025-06-08 01:04:45,1.47,0
2025-06-08 01:05:00,1.62,0
2025-06-08 01:05:15,1.66,0
2025-06-08 01:05:30,1.62,0
2025-06-08 01:05:45,1.55,0
2025-06-08 01:06:00,1.57,0
2025-06-08 01:06:15,1.65,0
2025-06-08 01:06:30,1.62,0
2025-06-08 01:06:45,1.57,0
2025-06-08 01:07:00,1.54,0
2025-06-08 01:07:15,1.4,0
2025-06-08 01:07:30,1.52,0
2025-06-08 01:07:45,1.46,0
2025-06-08 01:08:00,1.55,0
2025-06-08 01:08:15,1.62,0
2025-06-08 01:08:30,1.59,0
2025-06-08 01:08:45,1.65,0
2025-06-08 01:09:00,2.34,0
2025-06-08 01:09:15,1.68,0
2025-06-08 01:09:30,1.7,0
2025-06-08 01:09:45,1.54,0
2025-06-08 01:10:00,1.55,0
2025-06-08 01:10:15,1.51,0
2025-06-08 01:10:30,1.5,0
2025-06-08 01:10:45,1.61,0
2025-06-08 01:11:00,1.63,0
2025-06-08 01:11:15,1.61,0
2025-06-08 01:11:30,1.77,0
2025-06-08 01:11:45,1.73,0
2025-06-08 01:12:00,1.48,0
2025-06-08 01:12:15,1.55,0
2025-06-08 01:12:30,1.5,0
2025-06-08 01:12:45,1.65,0
2025-06-08 01:13:00,1.48,0
2025-06-08 01:13:15,1.69,0
2025-06-08 01:13:30,1.68,0
2025-06-08 01:13:45,1.44,0
2025-06-08 01:14:00,2.44,0
2025-06-08 01:14:15,1.61,0
2025-06-08 01:14:30,1.62,0
2025-06-08 01:14:45,1.48,0
2025-06-08 01:15:00,1.49,0
2025-06-08 01:15:15,1.46,0
2025-06-08 01:15:30,1.5,0
2025-06-08 01:15:45,1.57,0
2025-06-08 01:16:00,1.6,0
2025-06-08 01:16:15,1.44,0
2025-06-08 01:16:30,1.59,0
2025-06-08 01:16:45,1.56,0
2025-06-08 01:17:00,1.65,0
2025-06-08 01:17:15,1.51,0
2025-06-08 01:17:30,1.68,0
2025-06-08 01:17:45,1.48,0
2025-06-08 01:18:00,1.54,0
2025-06-08 01:18:15,1.57,0
2025-06-08 01:18:30,1.74,0
2025-06-08 01:18:45,1.6,0
2025-06-08 01:19:00,2.26,0
2025-06-08 01:19:15,1.35,0
2025-06-08 01:19:30,1.61,0
2025-06-08 01:19:45,1.48,0
2025-06-08 01:20:00,1.66,0
2025-06-08 01:20:15,1.54,0
2025-06-08 01:20:30,1.62,0
2025-06-08 01:20:45,1.41,0
2025-06-08 01:21:00,1.6,0
2025-06-08 01:21:15,1.51,0
2025-06-08 01:21:30,1.72,0
2025-06-08 01:21:45,1.54,0
2025-06-08 01:22:00,1.67,0
2025-06-08 01:22:15,1.49,0
2025-06-08 01:22:30,1.75,0
2025-06-08 01:22:45,1.56,0
2025-06-08 01:23:00,1.6,0
2025-06-08 01:23:15,1.69,0
2025-06-08 01:23:30,1.81,0
2025-06-08 01:23:45,1.62,0
2025-06-08 01:24:00,2.4,0
2025-06-08 01:24:15,1.7,0
2025-06-08 01:24:30,1.47,0
2025-06-08 01:24:45,1.63,0
2025-06-08 01:25:00,1.62,0
2025-06-08 01:25:15,1.65,0
2025-06-08 01:25:30,1.71,0
2025-06-08 01:25:45,1.55,0
2025-06-08 01:26:00,1.49,0
2025-06-08 01:26:15,1.59,0
2025-06-08 01:26:30,1.61,0
2025-06-08 01:26:45,1.56,0
2025-06-08 01:27:00,1.63,0
2025-06-08 01:27:15,1.74,0
2025-06-08 01:27:30,2.13,0
2025-06-08 01:27:45,1.87,0
2025-06-08 01:28:00,1.72,0
2025-06-08 01:28:15,1.54,0
2025-06-08 01:28:30,1.49,0
2025-06-08 01:28:45,1.36,0
2025-06-08 01:29:00,1.6,0
2025-06-08 01:29:15,2.0,0
2025-06-08 01:29:30,1.35,0
2025-06-08 01:29:45,1.48,0
2025-06-08 01:30:00,1.52,0
2025-06-08 01:30:15,1.59,0
2025-06-08 01:30:30,1.5,0
2025-06-08 01:30:45,1.25,0
2025-06-08 01:31:00,1.47,0
2025-06-08 01:31:15,1.39,0
2025-06-08 01:31:30,1.38,0
2025-06-08 01:31:45,1.92,0
2025-06-08 01:32:00,1.26,0
2025-06-08 01:32:15,1.25,0
2025-06-08 01:32:30,1.43,0
2025-06-08 01:32:45,1.33,0
2025-06-08 01:33:00,1.32,0
2025-06-08 01:33:15,1.33,0
2025-06-08 01:33:30,1.33,0
2025-06-08 01:33:45,1.15,0
2025-06-08 01:34:00,1.36,0
2025-06-08 01:34:15,1.94,0
2025-06-08 01:34:30,1.2,0
2025-06-08 01:34:45,1.27,0
2025-06-08 01:35:00,1.32,0
2025-06-08 01:35:15,1.36,0
2025-06-08 01:35:30,1.45,0
2025-06-08 01:35:45,1.38,0
2025-06-08 01:36:00,1.17,0
2025-06-08 01:36:15,1.23,0
2025-06-08 01:36:30,1.33,0
2025-06-08 01:36:45,1.34,0
2025-06-08 01:37:00,1.47,0
2025-06-08 01:37:15,1.4,0
2025-06-08 01:37:30,1.39,0
2025-06-08 01:37:45,1.3,0
